fixture_id,event_date,n_live_events,median_event_gap_sec,p90_event_gap_sec,archive_lag_p50_sec,n_goals,polymarket_reaction_latency_sec,stale_window_sec
18931984,2026-05-25,709.0,7.6063279999999995,17.483015880000007,6673.7941296,8,,
18931985,2026-05-25,1208.0,2.8411875,8.932621,5983.4481189,1,,
18931986,2026-05-25,118.0,59.7404644,65.03244754,5902.807377900001,1,,
18931987,2026-05-25,1141.0,2.8086875,9.586557720000002,5170.3733143,4,,
16043948,2026-05-26,1400.0,2.941686,8.543191700000001,3240.94729345,1,,
16043950,2026-05-26,1179.0,3.2014932,9.739085039999999,7397.2038142500005,3,,
16084494,2026-05-26,1666.0,3.0881039,9.06200312,8908.0741814,3,,
16086584,2026-05-26,1752.0,3.1364069,8.7376881,5658.6497767500005,4,,
16086586,2026-05-26,1495.0,3.2620275999999997,8.69363014,4960.4817874,4,,
16086594,2026-05-26,1771.0,2.7381957999999997,8.44223839,8903.055882,7,,
16086597,2026-05-26,1747.0,2.83545685,8.546371749999999,7032.5204841,4,,
16086623,2026-05-26,1441.0,3.23111625,8.937045610000007,2902.5060608,0,,
18565167,2026-05-26,1187.0,2.7574476,9.481527100000001,6784.170898300001,2,,
18726203,2026-05-26,2325.0,1.587861,5.856995130000002,8268.2726723,3,,
18726204,2026-05-26,1316.0,4.0099426,8.929549440000008,7442.06515555,5,,
18726205,2026-05-26,1149.0,2.9155780499999997,9.19555988,6849.5231966,4,,
18726206,2026-05-26,1653.0,2.7683882,8.44618338,7502.3469937,7,,
18726207,2026-05-26,2650.0,1.526901,5.602496980000002,6649.4575927,4,,
18726208,2026-05-26,1166.0,4.3945185,10.060421260000004,8533.492281,3,,
18726209,2026-05-26,2272.0,1.6518914,6.109826,7048.7894206,2,,
18726210,2026-05-26,1547.0,2.72928555,8.33359715,4440.47288035,4,,
18726211,2026-05-26,2548.0,1.530991,5.67294676,7833.30002,3,,
18726212,2026-05-26,1007.0,2.7307899,12.136913400000001,7033.7637445,5,,
18737066,2026-05-26,1483.0,2.54309485,8.25675024,4107.684061149999,4,,
18901576,2026-05-26,,,,11350.4706033,1,,
18904644,2026-05-26,1479.0,3.05727395,8.908325719999999,7751.8105821,4,,
18912970,2026-05-26,1366.0,2.8828713,9.515854380000006,3456.4238677,1,,
18922588,2026-05-26,1222.0,4.3137188,10.0578375,4875.43741165,3,,
18932871,2026-05-26,1638.0,2.5884619,8.526028780000008,5829.90843385,4,,
18935052,2026-05-26,2906.0,1.4934338,5.000773939999999,6398.0398181,6,,
18936129,2026-05-26,831.0,4.076230649999999,26.561226670000003,7420.3610774,2,,
18937404,2026-05-26,579.0,8.65835565,19.409198340000003,6733.0429017,5,,
18941986,2026-05-26,637.0,8.93320245,17.218503849999998,3637.8870521500003,4,,
18941987,2026-05-26,2173.0,1.75665945,6.278526430000002,6230.0360026,3,,
18941988,2026-05-26,1336.0,2.7323699,9.058876260000005,5120.527583,1,,
18941989,2026-05-26,1065.0,3.45355905,9.869831160000002,6617.0506491,4,,
18941990,2026-05-26,1543.0,3.1091198999999996,8.613825970000004,4768.4689637,1,,
18941991,2026-05-26,254.0,15.4485398,49.56662394000001,8833.23513965,7,,
18941993,2026-05-26,1132.0,4.0996667,10.082403,4051.9291243,0,,
18941994,2026-05-26,801.0,2.9471433,19.79497418,7053.927725,4,,
18941995,2026-05-26,1222.0,2.7288354,9.7837819,7703.62177415,3,,
18941997,2026-05-26,1340.0,2.6017416,9.60394386,3820.85661225,5,,
18941998,2026-05-26,1396.0,3.5153985,8.678308920000001,5030.7215067,3,,
18941999,2026-05-26,174.0,24.2471129,60.824761720000005,8552.8376113,3,,
16086583,2026-05-27,1545.0,3.0602795499999997,9.1275205,6814.914737749999,3,,
18735896,2026-05-27,2693.0,1.4785930999999999,5.483881050000001,5850.48063715,4,,
18735897,2026-05-27,2538.0,1.5618617,5.883188680000001,6640.0587983000005,2,,
18746262,2026-05-27,2888.0,1.3980826,5.125981060000001,7726.5620524,3,,
18834749,2026-05-27,2867.0,1.35769465,5.00759185,6356.71905885,1,,
18888279,2026-05-27,1359.0,3.86336645,9.2070202,5433.5465932,5,,
18893442,2026-05-27,2656.0,1.5691008,5.266551079999999,6546.9548625,2,,
18948377,2026-05-27,1165.0,4.0249801000000005,9.48942142,6149.28475645,5,,
18952774,2026-05-27,580.0,9.4518629,18.43045492,3806.4326746,4,,
18952775,2026-05-27,1552.0,3.0934345,8.8812886,8818.1465565,3,,
18952779,2026-05-27,92.0,59.6784644,64.9540559,3811.3047112,2,,
18952781,2026-05-27,836.0,5.2777107,15.23329172,4297.8163774,4,,
18952783,2026-05-27,264.0,7.3828968,55.483065700000004,3691.3489587,3,,
18952784,2026-05-27,1050.0,2.4504066,10.606944620000007,4224.17379185,2,,
18952785,2026-05-27,1574.0,3.0131904,8.49569452,5108.1199976,1,,
18952788,2026-05-27,818.0,4.4038778,16.785896359999995,4191.82909665,2,,
18952789,2026-05-27,528.0,8.9113787,18.550337460000005,5981.21519785,6,,
18952790,2026-05-27,1602.0,2.8439578,8.1676878,5084.32530405,1,,
18952792,2026-05-27,449.0,12.81429855,20.83485964,6191.7362692,2,,
18952797,2026-05-27,522.0,8.4511475,21.2631688,6710.18113755,2,,
18952799,2026-05-27,912.0,4.4448669,15.3913185,4792.09811965,3,,
18952800,2026-05-27,1580.0,2.9206413,8.7629456,7172.7358054,2,,
18952802,2026-05-27,1330.0,3.2919928,9.3869776,4531.14266925,4,,
18952803,2026-05-27,1595.0,2.9175297000000002,9.0674179,4212.6698583,5,,
18952814,2026-05-27,1527.0,2.8888610999999997,8.96970375,7006.5009942,3,,
18952816,2026-05-27,111.0,60.0051219,60.51900656,7517.4722522,3,,
18952823,2026-05-27,108.0,59.8394967,60.95349158,5040.0263641500005,8,,
18952827,2026-05-27,989.0,3.9167931,10.5762202,9258.6490298,1,,
18952831,2026-05-27,2942.0,1.4461714,4.8661411,7681.35540655,0,,
18952835,2026-05-27,103.0,59.92725205,61.01843504,7096.0355868999995,4,,
18952836,2026-05-27,268.0,25.7019197,54.66718066,7306.1967417,0,,
18952840,2026-05-27,1482.0,3.3059535,9.2593706,4023.83691225,0,,
18952842,2026-05-27,1459.0,2.7376693000000003,8.688925719999997,3707.5027732,3,,
18952844,2026-05-27,798.0,6.0106884,16.850908339999997,7968.1768801,2,,
18952845,2026-05-27,1465.0,3.55944945,9.00950651,7875.333795050001,2,,
18952850,2026-05-27,263.0,24.5863041,54.41107949,6310.0386265,2,,
18952851,2026-05-27,1030.0,4.4193582,11.31562646000001,6558.148311499999,1,,
18952854,2026-05-27,103.0,59.99449835,63.40066071,4173.5351041,3,,
18959836,2026-05-27,1519.0,2.92586755,9.144371709999998,6607.729764,2,,
18959837,2026-05-27,1589.0,2.9764289,9.05290394,4512.77255325,1,,
18746260,2026-05-28,2755.0,1.47462705,5.324640090000002,5327.5624744,3,,
18746261,2026-05-28,2666.0,1.5086031,5.265400679999999,6824.80546615,3,,
18962589,2026-05-28,2768.0,1.4912453,5.05666738,6272.0625476,1,,
18963491,2026-05-28,1457.0,3.22575265,9.175219850000001,5673.4246562,5,,
18963505,2026-05-28,1376.0,2.6823972,9.7528096,5578.0283003,7,,
18963509,2026-05-28,1503.0,2.60555695,9.222361350000002,5501.5808664,2,,
18963516,2026-05-28,2417.0,1.6276926,5.73143065,5842.0546644,4,,
